CLIENT_NUM,EN_CLIENT_NM_AN,FR_CLIENT_NM
222361,The Canadian Photographers Coalition,null
222401,Riverdale Immigrant Women's Centre,null
222422,Canadian Jewish Political Affairs Committee,Comité des Affaires Politiques Canadiennes Juives
222461,Manitoulin Transportation Inc,null
222481,University of Ottawa,Université d'Ottawa
222501,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
222521,Canadian Advanced Techology Alliance (CATAAlliance),null
222561,Merck Frosst Canada Ltd.,null
222562,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
222581,Interactive Gaming Council Canada,null
222601,Canadian Council of Professional Geoscientists,Conseil Canadien des Geoscientifiques Professionnels
222621,Canadian Owners and Pilots Association,null
222661,Mendel Art Gallery,null
222662,Ecojustice Canada,null
222701,ParticipACTION,null
222722,ParticipACTION,null
222723,ParticipACTION,null
222724,ParticipACTION,null
222742,Tides Canada Foundation,null
222743,Cable Public Affairs Channel Inc.,la Chaine d'affaires publiques par cable inc.
222781,Great-West Lifeco Inc.,null
222821,Canadian Trucking Alliance,null
222841,SM-5,null
222862,Canadian International Academy of Hockey,null
222865,Canadian National,null
222882,Eomax Corporation,null
222901,Labour Environmental Alliance Society,null
222941,Canadian Partnership Against Cancer,Partenariat Canadien Contre Le Cancer
222961,Canadian Energy Pipeline Association,null
223001,INTERNATIONAL GROUP OF P&I CLUBS,null
223023,Canadian Automobile Association,null
223061,EnviroTower,null
223101,The Navy League of Canada,La Ligue navale du Canada
223141,null,La Fédération des francophones de la Colombie-Britannique
223183,INTERNATIONAL GROUP OF P&I CLUBS,null
223201,Frontier Duty Free Association,Association Frontiere Hors Taxes
223221,Automotive Parts Manufacturers' Association,null
223244,Canadian Independent Telephone Company Joint Task Force,null
223261,CATAAlliance,null
223302,Aurora Energy Resources Inc.,null
223381,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
223401,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
223403,Ontario Electrical League,null
223421,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
223422,Barrick Gold Corporation,Société Aurifère Barrick
223441,Canadian Youth Business Foundation,Fondation Canadienne des Jeunes Entrepreneurs
223442,The Ontario Flue-Cured Tobacco Growers Marketing Board,null
223443,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
223445,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
223461,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
223481,The Ontario Flue-Cured Tobacco Growers' Marketing board,null
223482,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
223484,Nova Scotia Power Incorporated,null
223485,Canadian Music Publishers Association,null
223502,BHP Billiton Diamonds Inc.,null
223521,Commission Nationale des parents francophones,Commission Nationale des parents francophones
223541,Wildlife Habitat Canada,Habitat Faunique Canada
223561,Alenia North America-Canada,null
223582,Keystone Agricultural Producers,null
223584,Northland Power Inc.,null
223585,Rio Tinto Alcan Inc.,null
223586,Huntington Society of Canada,Société Huntington du Canada
223601,Huntington Society of Canada,Société Huntington du Canada
223602,Rio Tinto Alcan Inc.,null
223641,Coalition for Fairness in Charity Fundraising,null
223681,National Cattle Feeders' Association,Association nationale des engraisseurs de bovins
223701,Visa Canada Corporation,Corporation Visa Canada
223741,null,Les Éleveurs de volailles du Québec
223761,Canadian Cooperative Association,Association des Cooperatives du Canada
223782,Canadian Wireless Telecommunications Association,Association canadienne des telecommunications sans fil
223821,Wescam Inc.,null
223841,Aerospace Industry Association of British Columbia,null
223842,Animal Nutrition Association of Canada,Association de nutrition animale du Canada
223942,THE LUNG ASSOCIATION,null
223981,Wal-Mart Canada Inc.,null
223983,Law Society of Upper Canada,Barreau du Haut Canada
223984,Aeroports de Montreal,null
223986,Calgary International Airport,null
223988,Greater Toronto Airports Authority,null
223989,Vancouver Airport Authority,null
224003,Canada Family Action Coalition,null
224004,Interac Inc.,null
224021,Canadian Generic Pharmaceutical Association,L'association canadienne du médicament générique
224041,Saskatchewan Association of Rural Municipalities,null
224042,Saskatchewan Association of Rural Municipalities,null
224043,Saskatchewan Association of Rural Municipalities,null
224044,Saskatchewan Association of Rural Municipalities,null
224061,Western Integrated Systems Ltd.,null
224062,Highmark Renewable Reaserch LP,null
224141,Vancouver Airport Authority,null
224181,The Canada Life Assurance Company,de la Compagnie d'Assurance du Canada sur la Vie
224221,Canadian Egg Marketing Agency COB Egg Farmers of Canada,Office Canadien De Commercialisation Des Oeufs COB Les Producteurs D'Oeufs Du Canada
224222,Whitefeather Forest Management Corporation,null
224241,Quebecor Inc.,null
224301,Rheinmetall Canada,null
224321,Songwriters' Association of Canada,null
224362,VALCOM,null
224381,PATLON AIRCRAFT & INDUSTRIES LIMITED,null
224401,Louis Bull Tribe,null
224421,EDGEWATER COMPUTER SYSTEMS INC.,null
224441,OCEAN Industries BC,null
224462,ISRAEL AIRCRAFT INDUSTRIES LIMITED,null
224464,EDGEWATER COMPUTER SYSTEMS INC.,null
224465,EDGEWATER COMPUTER SYSTEMS INC.,null
224466,THE LUNG ASSOCIATION,null
224481,Canadian Light Source Inc.,Centre Canadien de Rayonnement Synchrotron
224501,Lanxess Corporation,null
224541,BELL CANADA,null
224542,LOCKHEED MARTIN CANADA INC.,null
224561,CAMECO CORPORATION,null
224621,Mackenzie Valley Aboriginal Pipeline LP,null
224641,Kellogg Canada Inc.,null
224701,MACDONALD DETTWILER AND ASSOCIATES LTD.,null
224702,Starz Media,null
224704,MACDONALD DETTWILER AND ASSOCIATES LTD.,null
224721,Newell Rubbermaid,null
224821,Canadian Climate Exchange Inc.,null
224822,Vale Inco Ltd,null
224841,MACDONALD DETTWILER AND ASSOCIATES LTD.,null
224881,TD Bank Financial Group,null
224901,Cara Operations Ltd.,null
224921,Amex Canada Inc.,null
224941,Cara Operations Ltd.,null
224961,Amex Canada Inc.,null
225001,ConocoPhillips Canada (BRC) Ltd.,null
225003,VANCOUVER FILM SCHOOL,null
225041,Nisga Lisims Government,null
225101,Laboratoire M2 inc.,Laboratoire M2 inc.
225121,IPL PLASTICS INC.,IPL PLASTICS INC.
225141,MDS Inc.,null
225181,Open Text Corporation,null
225182,Shouldice Hospital Ltd.,null
225201,TD Bank Financial Group,null
225221,Leggett & Platt Canada Co.,null
225222,Whirlpool Canada LP,null
225261,Toronto Board of Trade,null
225281,VANCOUVER FILM SCHOOL,null
225301,University of Windsor,null
225303,World Wildlife Fund Canada,null
225321,World Wildlife Fund Canada,null
225322,World Wildlife Fund Canada,null
225382,Maple Leaf Foods Inc.,null
225384,FCT INSURANCE COMPANY LTD.,COMPAGNIE D'ASSURANCES FCT LTEE
225401,Canadian Friends Service Committee,null
225421,Mobile Satellite Venture (Canada) Inc.,null
225481,Brock University,null
225541,Weyerhaeuser Company Limited,Compagnie Weyerhaeuser Limitee
225561,GELITA USA Inc,null
225641,Copper Fox Metals Inc.,null
225681,LOCKHEED MARTIN CANADA INC.,null
225741,Bell Canada,null
225742,Leggett & Platt Canada Co.,null
225821,Imperial Tobacco Canada Limited,null
225841,Imperial Tobacco Canada Limited,null
225861,Vale Inco,null
225881,Estate of the late Dorothy J. Killam,null
225922,Maple Leaf Foods,null
225941,MERCK FROSST CANADA LTD.,null
225961,York University,null
225981,Canadian Association of Defence and Security Industries,null
226021,Sustainable Development Technology Canada,Technologies du developpement durable Canada
226022,Bennett Jones LP,null
226041,World Wildlife Fund Canada,null
226101,Campaign to Control Cancer (C2CC),null
226121,Granny's Poultry Cooperative (Manitoba) Ltd,null
226141,RIO TINTO MINERALS,null
226142,Pacific Salmon Foundation,null
226143,British Columbia Institute of Technology,null
226161,CANADIAN AIDS SOCIETY (CAS),null
226181,Gould and Ratner LLP,null
226182,Q2,null
226201,Canadian Medical Association,Association médicale canadienne
226221,Raytheon Technical Services Co. LLC,null
226241,Cisco Systems Canada,null
226261,Canadian Medical Association,Association médicale canadienne
226301,Canadian Medical Association,Association médicale canadienne
226321,Canadian Medical Association,Association médicale canadienne
226341,Intermap Technologies Corporation,null
226361,Vale Canada Limited,null
226401,The Building Industry and Land Development Association,null
226441,Mount Royal University,null
226461,API Labs Inc.,null
226481,Blue Water Bridge Duty Free Shop Inc.,null
226561,Finlandia Club of Port Arthur,null
226581,Phoenix Canada Oil Company Limited,null
226601,Niagara Region,null
226641,Canadian Association of Petroleum Producers,Association Canadienne des Producteurs Pétroliers
226681,Niagara Region,null
226701,Western Marine Community Coalition,null
226721,Food Banks Canada,Banques alimentaires Canada
226741,URRMA R&D,null
226761,URRMA AG,null
226781,Peace River Coal Inc.,null
226782,Peace River Coal Inc.,null
226783,Peace River Coal Inc.,null
226784,Peace River Coal Inc.,null
226801,Canadian Medical Association,Association médicale canadienne
226822,Saskatchewan Power Corporation,null
226841,Hydro One Inc.,null
226882,Athabasca University,null
226901,Chamber of Shipping of British Columbia,null
226921,International Maritime Centre,null
226941,Advanced Explorations Inc.,null
226961,Advanced Explorations Inc.,null
226981,Alcoa Ltd,Alcoa Ltd
227001,CARE Canada,null
227002,SkyTerra (Canada) Inc.,null
227021,CGI Information systems and Management consultants inc,null
227041,Boeing Global Sales Corporation,null
227042,AVCORP Industries Inc,null
227061,Navistar Defense,null
227081,Concordia Foundation,null
227101,Provincial Aerospace Ltd,null
227121,Canadian Association of Oilwell Drilling Contractors,null
227141,Ontario Council of Agencies Serving Immigrants,null
227142,Canadian Medical Association,Association médicale canadienne
227161,Federally Regulated Employers - Transportation and Communication (FETCO),Employeurs des Transports et Communications de Régie Fédérale (ETCRF)
227181,L3 Mas,null
227201,The Ontario Greenhouse Vegetable Growers,null
227221,University of Northern British Columbia,L’Université du Nord de la Colombie-Britannique
227261,Canadian Medical Association,Association médicale canadienne
227281,Dow Corning Corporation,null
227301,StandardAero Ltd,null
227321,Canadian Medical Association,Association médicale canadienne
227341,Canadian Medical Association,Association médicale canadienne
227401,Credit Union Central of Canada,null
227422,Calgary Zoo,null
227461,Allied Beauty Association,null
227481,null,Association des universités de la francophonie canadienne
227501,Science World British Columbia,null
227502,Halterm Terminals,null
227521,Transat AT,null
227522,Transat AT,null
227541,CITADEL INVESTMENT GROUP,null
227542,National Marine Manufacturers Association,Association canadienne des manufacturiers de produits nautiques
227543,Alexandria Real Estate Equities - BJ Holdings Inc.,null
227545,Rocky Mountaineer Vacations,null
227546,Dow AgroSciences Canada Inc,null
227547,Transat AT,null
227548,RIO TINTO MINERALS,null
227549,The Nanaimo Port Authority,null
227550,FEDERAL EXPRESS CANADA LTD.,null
227562,International Commodities Export Corporation (ICEC) CANADA LTD,null
227563,Public Storage Canadian Properties,null
227564,FERUS TRUST,null
227641,Directors Guild of Canada,La guilde canadienne des realisateurs
227682,Peace River Coal Inc.,null
227702,OSI Geospatial Inc.,null
227721,The MasterCard Foundation,null
227722,Bell Aliant Inc.,null
227742,DEW Engineering and Development ULC,null
227761,Canadian Bankers Association,null
227762,United Jewish Appeal Federation of Greater Toronto,null
227781,Science World British Columbia,null
227802,PinPoint Environmental Inc.,null
227841,Vale Inco,null
227861,Lakeside Steel Corporation,null
227862,Lakeside Steel Corporation,null
227863,Lakeside Steel Corporation,null
227864,The Canadian Motion Picture Distributor's Association,L'Association canadienne des distributeurs de films
227865,The Ontario Greenhouse Vegetable Growers,null
227921,Dow Corning Corporation,null
227941,Rio Tinto plc,null
227961,Areva Mining,null
227963,Egg Farmers of Canada,null
227964,Dairy Farmers of Ontario,null
227981,ACP - Association of Canadian Publishers,null
227982,ACP - Association of Canadian Publishers,null
227983,Queen's University,null
228001,Association of Canadian Publishers,null
228021,Canadian Wireless Telecommunications Association,Association canadienne des télécommunications sans fil
228041,Titus International Inc,null
228061,Association of Canadian Publishers,null
228081,McMaster University,null
228101,Canadian Centre for Energy Information,null
228121,Canadian Cattlemen's Association,null
228122,Cyberklix Inc.,null
228141,Canadian Medical Association,Association médicale canadienne
228161,Canadian Association of Geophysical Contractors,null
228181,Optosecurity,null
228201,Optosecurity,null
228241,Canadian Meat Council,null
228261,Canadian Association of University Teachers,Association canadienne des professeures et professeurs d'universite
228301,NOVA CHEMICALS CORPORATION,null
228321,Dow Corning Corporation,null
228341,SVITZER SALVAGE B.V.,null
228361,Advanced Explorations Inc.,null
228401,Canadian Independent Film and Video Fund,Fonds Canadien du film et de la video independants
228461,TMX Group Inc.,null
228462,EXELIS,null
228463,NOVA CHEMICALS CORPORATION,null
228482,AIG United Guaranty Mortgage Insurance Company Canada,null
228483,3M Canada Company,null
228521,Canadian Olympic Committee,Comité olympique canadien (COC)
228561,The Hudson's Bay Company,null
228562,The Hudson's Bay Company,null
228621,null,J. J. Barker Ltée
228622,null,J. J. Barker Ltée
228641,Edmonton Regional Airports Authority,null
228664,Novyc Electronics Inc.,Novyc Électroniques inc.
228665,Novyc Electronics Inc.,Novyc Électroniques inc.
228666,West Monroe Partners ULC,Associés West Monroe ULC
228667,West Monroe Partners ULC,Associés West Monroe ULC
228681,Northland Power Income Fund,null
228701,Emirates Airline,null
228721,Ombudsman for Banking Services and Investments,null
228741,Canadian Business Aviation Association,Association canadienne d'aviation d'affaires
228761,EMS Chiefs of Canada,null
228762,EMS Chiefs of Canada,null
228802,Association of Canadian Publishers,null
228841,Canadian Medical Association,Association médicale canadienne
228861,Coalition for Canadian Astronomy,null
228881,Imperial Tobacco Canada Limited,null
228882,The Canadian Photographers Coalition,null
228901,null,Services parajudiciaires autochtones du Québec
228921,Emirates Airline,null
228941,Upper Lakes Marine & Industrial Inc.,null
228961,Imperial Tobacco Canada Limited,null
228962,TransUnion of Canada Inc.,null
228982,Fleet Canada Inc,null
229002,Canadian 4-H Council,Conseil du 4-H du Canada
229022,Dow Corning Corporation,null
229061,Ridley Terminals Inc,null
229082,Genworth Financial Mortgage Insurance Company Canada,null
229101,Genworth Financial Mortgage Insurance Company of Canada,null
229181,Paladin Labs Inc.,null
229201,Port Alberta,null
229241,Contact North,Contact Nord
229262,Alberta In Situ Oil Sands Alliance (IOSA),null
229263,Roundhouse Properties Ltd. Partnership,null
229281,Canadian Olympic Committee,Comité olympique canadien (COC)
229321,Ombudsman for Banking Services and Investments,Ombudsman des Services Bancaires et d'Investissement
229341,Prevtec microbia Inc.,null
229361,Microsoft Canada,null
229381,Imperial Tobacco Canada Limited,null
229421,Weyerhaeuser Company Limited,Compagnie Weyerhaeuser Limitee
229441,National Smokeless Tobacco Company,null
229482,Saskatchewan Pulse Growers,null
229501,Canadian Organic Growers,Cultivons Biologique
229541,Areva Canada Inc.,null
229581,General Dynamics Ordnance and Tactical Systems - Canada Inc.,General Dynamics Produits de défense et Systèmes tactiques - Canada Inc.
229601,null,Télé Inter-Rives Ltée
229621,Perceive Solutions Inc.,null
229641,Diagnostic Devices Inc.,null
229681,Canadian Wind Energy Association,Association canadienne de l'énergie éolienne
229683,Paladin Labs Inc.,null
229684,Food & Consumer Products of Canada,null
229701,NGRAIN,null
229721,Interac Association,Association Interac
229722,Canadian Wind Energy Association,Association canadienne de l'énergie éolienne
229723,Canadian Wind Energy Association,Association canadienne de l'énergie éolienne
229761,SASKATCHEWAN ASSOCIATION OF RURAL MUNICIPALITIES (SARM),null
229801,Interac Association,Association Interac
229802,Hoffmann-La Roche Ltd.,null
229821,ONTARIO-QUEBEC GRAIN FARMERS’ COALITION,COALITION DES PRODUCTEURS DE GRAINS QUEBEC-ONTARIO
229841,Vale Inco,Vale Inco
229861,Mendel Art Gallery,null
229862,Mendel Art Gallery,null
229863,Transat AT,null
229864,Mendel Art Gallery,null
229865,Mendel Art Gallery,null
229866,The University of Winnipeg,null
229881,Techlink Entertainment International,null
229923,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
229924,Neurological Health Charities Canada,Organismes caritatifs neurologiques du Canada
229925,The Ontario Flue-Cured Tobacco Growers' Marketing Board,null
229941,The University of Winnipeg,null
229961,The University of Winnipeg,null
229981,The University of Winnipeg,null
229982,SASKATCHEWAN ASSOCIATION OF RURAL MUNICIPALITIES (SARM),null
229983,Telus World of Science Calgary,null
230001,Port Metro Vancouver,null
230041,Telus World of Science Calgary,null
230042,Telus World of Science Calgary,null
230061,Wagner Ontario Forest Management,null
230081,Canadian Football League,null
230102,NDMAC,null
230121,Chantiers Davie Inc.,null
230141,Evergreen,null
230161,Canadian Coalition Against Terror,null
230183,Wagner Ontario Forest Management,null
230201,Areva Mining,null
230221,Niagara Region,null
230241,Bell Aliant Regional Communications,null
230261,Canadian Petroleum Products Institute,null
230321,Greater Toronto Marketing Alliance,null
230341,Plenary Group,null
230381,Neurological Health Charities Canada,Organismes caritatifs neurologiques du Canada
230423,Neurological Health Charities Canada,null
230441,Neurological Health Charities Canada,null
230461,College of Chiropodists of Ontario,null
230541,NAV CANADA,null
230561,Ontario Podiatric Medical Association,null
230582,Teck Coal Limited,null
230583,Canadian Association of Management Consultants,null
230584,National Centre for Medical Device Development,Centre National De Developpement de Materiel Medical
230585,Board of Directors of Drugless Therapy - Naturopathy,null
230586,Niagara Greenway Consortium,null
230587,Genworth Financial Mortgage Insurance Company Canada,null
230588,Genworth Financial Mortgage Insurance Company of Canada,null
230601,Teck Coal Limited,null
230661,US Bank National Association,null
230662,Teck Coal Limited,null
230664,Canadian Petroleum Products Institute,null
230681,Saint Francis Xavier University Students' Union,null
230701,Denali - The Alaska Gas Pipeline,null
230703,Denali - The Alaska Gas Pipeline,null
230721,Vector Aerospace Corporation,null
230742,MBNA Canada Bank,null
230801,National Airlines Council of Canada,Conseil National des Lignes Aeriennes du Canada
230841,Emirates Airline,null
230861,Emirates Airline,null
230881,The Royal Bank of Scotland Group plc,null
230882,The Royal Bank of Scotland Group plc,null
230941,Graduate Student Association -- University of Waterloo,null
230942,BAXTER CORP.,null
230961,Forest Products Association of Canada,Assoication des produits forestiers du Canada
230981,National Airlines Council of Canada,Conseil National des Lignes Aeriennes du Canada
231001,CAMECO CORPORATION,null
231002,CAMECO CORPORATION,null
231021,AIG Commercial Insurance Company of Canada,null
231041,Chicken Farmers of Canada,Les Producteurs de poulet du Canada
231061,AIG Commercial Insurance Company of Canada,null
231062,AIG Commercial Insurance Company of Canada,null
231081,Investment Industry Association of Canada,null
231082,Investment Industry Association of Canada,null
231083,Canadian Airports Council,null
231084,Canadian Airports Council,Conseil des aéroports du Canada
231101,Egg Farmers of Canada,Les Producteurs d'oeufs du Canada
231102,Chicken Farmers of Canada,Les Producteurs de poulet du Canada
231104,Chicken Farmers of Canada,Les Producteurs de poulet du Canada
231121,TOP ACES CONSULTING INC.,null
231122,Chicken Farmers of Canada,Producteurs de Poulet du Canada
231124,The Corporation of the City of Cambridge,null
231126,ASSOCIATION OF LABOUR SPONSORED INVESTMENT FUNDS,null
231141,Upper Lakes Marine & Industrial Inc.,null
231181,Organization of CANDU Industries,L'Association des industries CANDU
231201,Marathon Oil Canada Corporation,null
231242,Maple Leaf Foods,null
231261,St. Thomas University Students' Union,null
231301,RAFAEL USA Inc.,null
231302,CALGARY ZOO,null
231321,International Union of Operating Engineers,null
231341,Association of Regina REALTORS Inc,null
231361,Trio Capital,null
231381,Canadian Press,La Presse Canadienne
231382,Globalive Wireless Management Corp,null
231401,Canadian Press,null
231421,Trillium Power Wind Corporation,null
231422,Plenary Group,null
231481,RAFAEL USA Inc.,null
231501,Association of Equipment Manufacturers,null
231521,South West Economic Alliance,null
231541,The MasterCard Foundation,null
231561,Alliance for the Canadian Arthritis Program,Alliance pour le programme canadien de l'arthrite
231581,Automotive Parts Manufacturers' Association,null
231582,McMaster University,null
231583,The Home Depot Canada,null
231584,University of Waterloo,null
231585,Canwest Global Communications Corp.,null
231586,York University,null
231601,Rapid Precision Inc.,Précision Rapide inc.
231621,Canadian Council of Grocery Distributors,null
231641,Gatineau Development Corporation,null
231681,Canaccord Capital Corporation (CCC),null
231701,null,Agence métropolitaine de Transport (AMT)
231702,Nickel Institute,null
231721,CAE Inc.,null
231722,The Corporation of the City of Cambridge,null
231723,The Corporation of the City of Cambridge,null
231741,York University,null
231742,York University,null
231743,University of Waterloo,null
231744,Canadian Council of Grocery Distributors,null
231745,University of Waterloo,null
231746,McMaster University,null
231747,McMaster University,null
231748,Red River College,null
231821,CANARIE Inc.,null
231841,PARAMETRIC TECHNOLOGY CORP.,null
231861,Association of Justice Counsel,Association des juristes de Justice
231881,ATCO Power Ltd.,null
231901,PARAMETRIC TECHNOLOGY CORPORATION,null
231921,Agence métropolitaine de Transport (AMT),null
231942,Busque & Laflamme inc.,null
231961,Geomatics Industry Association of Canada,L'Association canadienne des entreprises geomatiques
231962,Ontario Funeral Service Association,null
231981,Grant Forest Products Inc.,null
232021,South West Economic Alliance,null
232041,EDGEWATER COMPUTER SYSTEMS,null
232061,Canadian Chemical Producers' Association,Fabriquants de produits chimiques du Canada
232062,Environmental Health Industry Coordinating Group,null
232081,Li Ka Shing Foundation Limited,null
232121,Association of Justice Counsel,Association des Juristes de Justice
232182,Pic Mobert First Nation (Health Clinic),null
232201,Buckingham Capital Corporation,null
232221,Thunder Bay Regional Research Institute,null
232261,Grimsby Energy Inc,null
232281,Grant Forest Products Inc.,null
232282,Grant Forest Products Inc.,null
232283,Niagara College,null
232301,Niagara College,null
232341,Buckingham Capital Corporation,null
232381,Prudential Chem Inc.,null
232421,Arrivals Duty Free Coalition,null
232441,McMaster University,null
232462,Air Canada,null
232463,Air Canada,null
232481,GlaxoSmithKline,null
232501,Natural Health Products Protection Association,null
232521,Integrated CO2 Network (ICO2N),null
232541,Sheridan Institute of Technology and Advanced Learning,null
232581,EADS/CASA - European Aeronautic Defense and Space Company (EADS)/Construcciones Aeronáuticas SA (CASA),null
232621,St. Clair College,null
232622,Niagara College of Applied Arts and Technology,null
232661,Association of Justice Counsel,Association des Juristes de Justice
232681,Bioniche Life Sciences Inc,null
232701,Port of Prescott,null
232702,Port of Prescott,null
232722,Canadian Film & Television Production Association,null
232741,Association of Canadian Community Colleges,null
232761,Association of Canadian Community Colleges,null
232781,Federal Superannuates National Association,Association nationale des retraités fédéraux
232782,Durham College,null
232801,Canadian Association of Research Libraries,Association des bibliothèques de recherche du Canada
232821,Sheridan Institute of Technology and Advanced Learning,null
232841,Sheridan Institute of Technology and Advanced Learning,null
232861,Tl’azt’en Nation and Nak’azdli Band,null
232881,Pengrowth Energy Trust,null
232882,Tl’azt’en Nation and Nak’azdli Band,null
232902,VICTORIA CHINATOWN CARE FOUNDATION,null
232921,Crowflight Minerals Inc,null
232923,University of Windsor,null
232961,VICTORIA CHINATOWN CARE FOUNDATION,null
232981,Plasco Energy Group Inc.,null
233001,MBNA Canada Bank,null
233041,Anaphylaxis Canada,Anaphylaxie Canada
233061,null,Damafro Inc.
233081,Grant Forest Products Inc.,null
233101,Niagara College,null
233122,PPG Industries Inc.,null
233161,Celestica,Celestica
233181,ZENN Motor Company,ZENN Motor Company
233202,Hamilton International Airport,null
233221,British Columbia Maritime Employers Association,null
233241,Agrium Inc.,null
233242,FISHERIES COUNCIL OF CANADA,null
233261,Canadian Film & Television Production Association,null
233262,Canadian Imperial Bank of Commerce,null
233281,Finning International Inc.,null
233282,Goldcorp Inc.,null
233283,Harry Winston Diamond Corporation,null
233284,Magna International Inc.,null
233286,Sun Life Financial Inc.,null
233287,Talisman Energy Inc.,null
233301,TELUS Corporation,null
233302,The Toronto Dominion Bank,null
233303,TransCanada Corporation,null
233321,BC Coast Pilots,null
233341,ID Biomedical Corporation,null
233342,Rafael USA Incoporated,Rafael USA Incorporated
233344,ThyssenKrupp Marine Systems Canada Inc.,ThyssenKrupp Marine Systems Canada Inc.
233361,Canadian Wheat Board,null
233382,Durham College,null
233383,Durham College,null
233401,Actavis Pharma Company,null
233421,Hydrogen and Fuel Cells Canada,null
233422,MBNA Canada Bank,null
233423,Capital One Bank (Canada Branch),null
233424,Bombardier Inc.,null
233441,BCE Inc.,null
233442,GlaxoSmithKline Consumer Healthcare Inc.,null
233443,St. Clair College,null
233444,St. Clair College,null
233461,Niagara College of Applied Arts and Technology,null
233462,Niagara College of Applied Arts and Technology,null
233482,Chicken Farmers of Canada,Les Producteurs de poulet du Canada
233501,International Fund for Animal Welfare,Fonds international pour la protection des animaux
233521,Canadian Private Copying Collective,Société Canadienne de Perception de la Copie Privée
233561,Clairvest,null
233563,Shell Canada Limited,null
233581,Roots of Empathy,Racines de l'empathie
233621,Lawyers' Professional Indemnity Company,null
233661,Commissioner for Complaints for Telecommunications Services Inc.,Commissaire aux Plaintes Relatives aux Services de Télécommunications Inc.
233682,KPMG LLP,KPMG s.r.l.
233683,OTEC,null
233721,Brainhunter Inc.,null
233741,Estate of George Ryerson Gardiner,null
233761,Pratt & Whitney Canada Corp.,null
233781,CHRA Canadian Housing and Renewal Association,ACHRU Association canadienne d’habitation et de rénovation urbaine
233801,Estate of the Late George Ryerson Gardiner,null
233802,iLOOKABOUT Corp.,null
233821,ratiopharm,null
233841,TRIUMF,null
233861,Canadian Music Publishers Association,null
233881,TRIUMF,null
233882,TRIUMF,null
233901,HP Enterprise Services (formerly EDS Canada),null
233921,Capital One Bank (Canada Branch),null
233961,Simon Fraser University,null
234001,Assiniboine Park Conservancy Inc.,null
234002,Royal Ottawa Health Care Group,Services de santé Royal Ottawa
234003,Royal Ottawa Health Care Group,Services de santé Royal Ottawa
234021,Chabad Lubavitch of Winnipeg,null
234041,Sayisi Dene First Nation,null
234043,Northlands First Nation,null
234061,PCA Services Inc.,null
234081,PricewaterhouseCoopers LLP (U.S.),null
234102,Pharmascience Inc.,null
234104,Living Ocean Society,null
234141,MTS Allstream Inc.,null
234201,null,Images et Technologie inc.
234221,PCAS Inc.,null
234241,Woodbine Entertainment Group,null
234261,Denali - The Alaska Gas Pipeline,null
234262,Resolute Forest Products,null
234281,National Quality Institute,null
234282,Wilson Fuel Co. Limited,null
234283,Sandoz Canada Inc.,null
234302,Estate of George Ryerson Gardiner,null
234401,Marathon Oil Canada Corporation,null
234441,Bioniche Life Sciences Inc,null
234461,Danone Inc.,null
234481,Belair Networks,null
234501,Insurance Brokers Association of Canada,null
234521,University of Ontario Institute of Technology,null
234541,VICTORIA CHINATOWN CARE FOUNDATION,null
234561,ENVIRONMENTAL CRIMINOLOGY RESEARCH INC. (ECRI),null
234581,Télécabines Skylink,Télécabines Skylink
234601,Buckingham Capital Corporation,null
234621,The Co-operators Group Limited,Groupe Co-operators limitée
234641,Brainhunter Inc.,null
234642,Agnico-Eagle Mines Limited,null
234661,AltaGas Ltd.,null
234701,Tourism Industry Association of Ontario,null
234702,Canadian Association of Petroleum Producers,null
234722,The Estée Lauder Companies,null
234741,Bombardier Inc.,Bombardier Inc.
234761,Magazines Canada,null
234781,Greater Toronto Airports Authority,Autorité aéroportuaire du Grand Toronto
234801,Canadian Association of Petroleum Producers,Association Canadienne des Producteurs Pétroliers
234803,MARITIME STEEL & FOUNDRY LTD.,null
234804,Clark Hill PLC,null
234842,Talon Aircraft Inc.,Talon Aircraft Inc.
234861,Alenia North America,null
234863,Orchestras Canada,Orchestres Canada
234941,Multiple Sclerosis Society of Canada,Societe canadienne de la sclerose en plaques
234942,Worthington Advisors,null
234943,Ultima Foods Inc.,Aliments Ultima inc.
234961,Baffinland Iron Mines Corporation,null
234962,Songwriters' Association of Canada,null
234981,null,ASTRAL MEDIA INC.
235002,Hamilton Port Authority,null
235003,Hamilton Port Authority,null
235043,The Estée Lauder Companies,null
235081,null,Max Meilleur & Fils Ltée
235082,UNIVERSITY OF ALBERTA (CAMPUS ST. JEAN),null
235101,University Health Network,null
235123,Plenary Group,null
235124,Kinross Gold Corp.,null
235125,Worthington Advisors,null
235201,Louisbourg Seafoods Limited,null
235221,University of Victoria,null
235261,UJA Federation of Greater Toronto,null
235263,GreenField Ethanol,null
235301,Hydrogen and Fuel Cells Canada,null
235321,Teva Novopharm,null
235341,Nelson Education Ltd.,null
